name,size,population,rent,house,density
alameda county,738.0,1622188.0,2834.97084147617,5627.6316068741,2198.086720867209
alpine county,739.0,1141.0,-1,-1,1.543978349120433
amador county,593.0,41811.0,-1,-1,70.50758853288364
butte county,1640.0,207172.0,1606.1626581538,2043.81257012721,126.32439024390244
calaveras county,1020.0,46565.0,-1,-1,45.65196078431372
colusa county,1151.0,22037.0,-1,-1,19.145960034752388
contra costa county,720.0,1155025.0,3077.68886517434,4479.65777334851,1604.201388888889
del norte county,1008.0,26589.0,-1,-1,26.37797619047619
el dorado county,1712.0,192215.0,2568.09829865475,3560.82276504982,112.27511682242991
fresno county,5963.0,1017162.0,1948.64549662715,2236.35890902627,170.57890323662585
glenn county,1315.0,28129.0,-1,-1,21.390874524714828
humboldt county,3573.0,133985.0,-1,-1,37.49930030786454
imperial county,4175.0,179057.0,1538.33333333333,1999.68331856841,42.88790419161677
inyo county,10192.0,18527.0,-1,-1,1.817798273155416
kern county,8142.0,913820.0,1797.59168282698,1963.1383965387,112.23532301645787
kings county,1390.0,152682.0,1951.55982905983,2012.81824319617,109.8431654676259
lake county,1258.0,67878.0,-1,-1,53.95707472178061
lassen county,4558.0,28861.0,-1,-1,6.331943835015357
los angeles county,4060.0,9663345.0,2890.38178202736,4936.20351175375,2380.134236453202
madera county,2138.0,162858.0,2167.57142857143,2437.38975550999,76.1730589335828
marin county,520.0,254407.0,3909.20502012607,7299.36760956608,489.2442307692308
mariposa county,1451.0,16919.0,-1,-1,11.660234321157823
mendocino county,3509.0,89108.0,-1,-1,25.394129381590197
merced county,1929.0,291920.0,2029.04982401757,2567.64390854149,151.33229652669777
modoc county,3944.0,8500.0,-1,-1,2.1551724137931036
mono county,3044.0,13066.0,-1,-1,4.292378449408673
monterey county,3322.0,430723.0,2621.64478744991,4675.76772183153,129.65773630343168
napa county,754.0,133216.0,3011.83655913979,5249.11189675086,176.6790450928382
nevada county,958.0,102037.0,-1,-1,106.51043841336117
orange county,790.0,3135755.0,3149.52869721175,6107.74684104728,3969.3101265822784
placer county,1404.0,423561.0,2603.19613395689,4043.542835314,301.6816239316239
plumas county,2554.0,19131.0,-1,-1,7.490602975724354
riverside county,7208.0,2492442.0,2618.78564278209,3474.12721270344,345.78829078801334
sacramento county,966.0,1584288.0,2219.45208061596,3222.79318635162,1640.0496894409937
san benito county,1389.0,68175.0,-1,-1,49.08207343412527
san bernardino county,20062.0,2195611.0,2494.20357047695,3042.01433986184,109.44128202572027
san diego county,4204.0,3269973.0,3082.96306815531,5226.22987735034,777.8242150333016
san francisco county,47.0,808988.0,3384.60939676759,6742.63759446956,17212.510638297874
san joaquin county,1399.0,800965.0,2413.70029239766,3051.83854558489,572.5268048606147
san luis obispo county,3304.0,281639.0,2873.04690605239,4955.00188275977,85.24182808716706
san mateo county,449.0,726353.0,-1,-1,1617.7126948775056
santa barbara county,2738.0,441257.0,3376.96104231166,4429.62758146501,161.16033601168735
santa clara county,1291.0,1877592.0,3431.30029717517,8269.93321178826,1454.3702556158016
santa cruz county,446.0,261547.0,3625.89576929746,5931.8981454263,586.4282511210762
shasta county,3786.0,180366.0,1635.96494561859,2085.83407456427,47.640253565768624
sierra county,953.0,3200.0,-1,-1,3.3578174186778593
siskiyou county,6287.0,42905.0,-1,-1,6.8243995546365515
solano county,828.0,449218.0,2418.94235893655,3707.21068890189,542.5338164251208
sonoma county,1576.0,481812.0,2726.17045764847,4671.52767065916,305.7182741116751
stanislaus county,1495.0,551430.0,2009.66792241069,2936.52808467228,368.8494983277592
sutter county,603.0,97948.0,-1,-1,162.43449419568822
tehama county,2951.0,64896.0,-1,-1,21.991189427312776
trinity county,3179.0,15670.0,-1,-1,4.929223026108839
tulare county,4824.0,479468.0,1795.55958781362,2053.7512783369,99.3922056384743
tuolumne county,2236.0,54204.0,-1,-1,24.241502683363148
ventura county,1846.0,829590.0,3050.98325594781,5132.95788604423,449.39869989165766
yolo county,1012.0,220544.0,2433.5787037037,3556.43512493221,217.92885375494072
yuba county,630.0,85722.0,-1,-1,136.06666666666666
