regionname,Payments for bottom-tier home,Rents
San Mateo,8300.68741620415,3418.20206971113
Santa Clara,8269.93321178826,3431.30029717517
Marin,7299.36760956608,3909.20502012607
San Francisco,6742.63759446956,3384.60939676759
Orange,6107.74684104728,3149.52869721175
Santa Cruz,5931.8981454263,3625.89576929746
Alameda,5627.6316068741,2834.97084147617
Napa,5249.11189675086,3011.83655913979
San Diego,5226.22987735034,3082.96306815531
Ventura,5132.95788604423,3050.98325594781
San Luis Obispo,4955.00188275977,2873.04690605239
Los Angeles,4936.20351175375,2890.38178202736
Monterey,4675.76772183153,2621.64478744991
Sonoma,4671.52767065916,2726.17045764847
Contra Costa,4479.65777334851,3077.68886517434
Santa Barbara,4429.62758146501,3376.96104231166
Placer,4043.542835314,2603.19613395689
Solano,3707.21068890189,2418.94235893655
El Dorado,3560.82276504982,2568.09829865475
Yolo,3556.43512493221,2433.5787037037
Riverside,3474.12721270344,2618.78564278209
Sacramento,3222.79318635162,2219.45208061596
San Joaquin,3051.83854558489,2413.70029239766
San Bernardino,3042.01433986184,2494.20357047695
Stanislaus,2936.52808467228,2009.66792241069
Merced,2567.64390854149,2029.04982401757
Madera,2437.38975550999,2167.57142857143
Fresno,2236.35890902627,1948.64549662715
Shasta,2085.83407456427,1635.96494561859
Tulare,2053.7512783369,1795.55958781362
Butte,2043.81257012721,1606.1626581538
Kings,2012.81824319617,1951.55982905983
Imperial,1999.68331856841,1538.33333333333
Kern,1963.1383965387,1797.59168282698
